time,bnorm,channel11,channel12,channel13,channel14,channel15,channel16,channel17,channel18,channel22,channel23,channel24,channel25,channel26,channel27,channel28,channel33,channel34,channel35,channel36,channel37,channel38,channel44,channel45,channel46,channel47,channel48,channel55,channel56,channel57,channel58,channel66,channel67,channel68,channel77,channel78,channel88,group1diff,group1max,group1norm,group2diff,group2max,group2norm,powernorm,tot_fissions,Executioner/eigenvalue
0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63252580473985,0,101.20412875838,0.63252580473985,0,101.20412875838,1.486535427204e-11,0.46625898145439,1.16
1,1.1631412890021,3.0085292317226e-13,2.9663537976441e-13,2.8827107553679e-13,2.7595856451182e-13,2.6023905273286e-13,2.4265678951987e-13,2.2749970384746e-13,2.2587770077664e-13,2.9247839245958e-13,2.8423418957467e-13,2.7209850782739e-13,2.5660495701312e-13,2.3927634678496e-13,2.2434147820801e-13,2.2275752072394e-13,2.7622821573367e-13,2.6444334722451e-13,2.4939816233691e-13,2.3257295069262e-13,2.1807928724921e-13,2.1657165567023e-13,2.5317517012034e-13,2.3879027065406e-13,2.227057119145e-13,2.0885946099856e-13,2.0745969838931e-13,2.2524782376617e-13,2.1010279832738e-13,1.9706288399845e-13,1.9575690875367e-13,1.9598239959597e-13,1.8374984500008e-13,1.8232470393603e-13,1.7188272613261e-13,1.6942732526314e-13,1.6308399235315e-13,0.5913351919129,0.0018912968187283,7.3726842514448,0.54967760765463,0.004372879723,18.65335829984,1.4906444251919e-11,0.46753564222183,1.1631412890021
2,4.9938832653906e+15,1291.6955081724,1273.5877171029,1237.6760361197,1184.8129460172,1117.322085229,1041.8336034278,976.75748824967,969.79350711654,1255.7399203371,1220.343887875,1168.2400045679,1101.7192947759,1027.3198581389,963.19781985998,956.39718536478,1185.9706787338,1135.3729928041,1070.777317502,998.53919504727,936.31144678606,929.8385133739,1086.9936930543,1025.2329169576,956.17474708586,896.72662896703,890.71682505416,967.08916475364,902.06482952645,846.07867327432,840.47154026168,841.43967281317,788.91987124907,782.80110633386,737.96904792177,727.42691909544,700.19216750891,3.8115247226591e+14,8120179054977.2,3.1654215057473e+16,9.5562394892653e+14,18774719010268,8.0087169751171e+16,64000,2.0073386111745e+15,1.1631412890021
