time,bnorm,channel11,channel12,channel13,channel14,channel15,channel16,channel17,channel18,channel22,channel23,channel24,channel25,channel26,channel27,channel28,channel33,channel34,channel35,channel36,channel37,channel38,channel44,channel45,channel46,channel47,channel48,channel55,channel56,channel57,channel58,channel66,channel67,channel68,channel77,channel78,channel88,group1diff,group1max,group1norm,group2diff,group2max,group2norm,powernorm,tot_fissions,Executioner/eigenvalue
0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70656015079105,0,113.04962412657,0.70656015079105,0,113.04962412657,1.486350542989e-11,0.46622146581195,1.16
1,1.1617239541481,3.0007459194673e-13,2.9585956585347e-13,2.8750412918467e-13,2.7521884629777e-13,2.5957473724714e-13,2.4217372642249e-13,2.2736753765492e-13,2.262042052936e-13,2.91705236266e-13,2.8347012726235e-13,2.7136180929724e-13,2.5594327471576e-13,2.3879416505112e-13,2.2420607385717e-13,2.2307486394362e-13,2.7547358390839e-13,2.6371617904167e-13,2.4874500878657e-13,2.3209551716311e-13,2.1794008948885e-13,2.1687307526668e-13,2.5247499536426e-13,2.381617703115e-13,2.2224620393082e-13,2.0872415424137e-13,2.0774560849663e-13,2.2468552489666e-13,2.0969747045292e-13,1.9695937324595e-13,1.960450967797e-13,1.9571220488937e-13,1.8374511231531e-13,1.826670530225e-13,1.720875530704e-13,1.6991830666876e-13,1.6379543191484e-13,0.66551070337153,0.0014290869856022,7.216859430482,0.61993828732553,0.0036603946531413,18.436261055277,1.4888075161242e-11,0.46696288168057,1.1617239541481
2,4.9939520226922e+15,1289.9433725715,1271.8240611732,1235.9061912665,1183.0949247833,1115.8449298446,1041.0424667514,977.39447526416,972.39360911335,1253.965668418,1218.5650561478,1166.5145162778,1100.2342078747,1026.5146029795,963.80415678006,958.94137675761,1184.1899761518,1133.6479212978,1069.2907168943,997.71884125819,936.8683040772,932.28148479536,1085.3249683598,1023.7961008967,955.37918082261,897.25137244226,893.04485635574,965.86519329388,901.43540811272,846.67760951103,842.74737049719,841.31635401249,789.87290571949,785.23860652415,739.76006147374,730.43502998365,704.11436864855,3.7020548223752e+14,6143276823094.1,3.1023419652882e+16,9.410743974363e+14,15735093708481,7.9252737157686e+16,64000,2.0073531402742e+15,1.1617239541481
